PartcipantID:232323
InitialTimeStamp:12-44-25-911
no answer = 0; lottery1 = 1(left); lottery2 = 2(right)
block;trial;eventType;elapsedTime(ms)
name D22L; Block1; Instance66; Answer:2; ParticipantAnswer:1147; time taken:1091
name 4S6L; Block1; Instance167; Answer:1; ParticipantAnswer:10929; time taken:60
name D26L; Block1; Instance70; Answer:1; ParticipantAnswer:11105; time taken:57
name 3S35R; Block1; Instance277; Answer:1; ParticipantAnswer:11287; time taken:60
name 4S44L; Block1; Instance205; Answer:1; ParticipantAnswer:11466; time taken:59
name 4S59R; Block1; Instance382; Answer:1; ParticipantAnswer:11646; time taken:59
name D11R; Block1; Instance19; Answer:1; ParticipantAnswer:11831; time taken:60
name 4S50R; Block2; Instance373; Answer:1; ParticipantAnswer:27360; time taken:392
name D30R; Block2; Instance38; Answer:1; ParticipantAnswer:27538; time taken:60
name D7R; Block2; Instance15; Answer:1; ParticipantAnswer:27713; time taken:56
name 4S75L; Block2; Instance236; Answer:1; ParticipantAnswer:28181; time taken:347
name 4S12L; Block2; Instance173; Answer:1; ParticipantAnswer:28356; time taken:58
name 3S19R; Block2; Instance261; Answer:1; ParticipantAnswer:28534; time taken:59
name 8B; Block2; Instance7; Answer:1; ParticipantAnswer:28710; time taken:58
name 3S20L; Block2; Instance100; Answer:1; ParticipantAnswer:28888; time taken:60
name 4S2R; Block2; Instance325; Answer:1; ParticipantAnswer:29070; time taken:60
name 3S8L; Block2; Instance88; Answer:1; ParticipantAnswer:29250; time taken:59
name 4S44R; Block2; Instance367; Answer:1; ParticipantAnswer:29429; time taken:58
name D6L; Block2; Instance50; Answer:1; ParticipantAnswer:29611; time taken:59
name D27R; Block2; Instance35; Answer:1; ParticipantAnswer:29789; time taken:60
name D24R; Block2; Instance32; Answer:1; ParticipantAnswer:29970; time taken:59
name 4S46R; Block2; Instance369; Answer:1; ParticipantAnswer:30153; time taken:59
name 3S51R; Block2; Instance293; Answer:1; ParticipantAnswer:30331; time taken:58
name 3S52R; Block2; Instance294; Answer:1; ParticipantAnswer:30509; time taken:57
name 3S70L; Block2; Instance150; Answer:1; ParticipantAnswer:30691; time taken:59
name 3S32L; Block2; Instance112; Answer:1; ParticipantAnswer:30870; time taken:60
name 3S14L; Block2; Instance94; Answer:1; ParticipantAnswer:31049; time taken:60
name 4S34L; Block2; Instance195; Answer:1; ParticipantAnswer:31229; time taken:60
name D18L; Block2; Instance62; Answer:1; ParticipantAnswer:31404; time taken:57
name 3S4L; Block2; Instance84; Answer:1; ParticipantAnswer:31583; time taken:60
name D32R; Block2; Instance40; Answer:1; ParticipantAnswer:31762; time taken:58
name 3S11R; Block2; Instance253; Answer:1; ParticipantAnswer:31943; time taken:60
name 3S39R; Block2; Instance281; Answer:1; ParticipantAnswer:32120; time taken:59
name 9B; Block2; Instance8; Answer:1; ParticipantAnswer:32302; time taken:59
name 3S56R; Block2; Instance298; Answer:1; ParticipantAnswer:32480; time taken:58
name 4S2L; Block2; Instance163; Answer:1; ParticipantAnswer:32670; time taken:61
name 1B; Block2; Instance0; Answer:1; ParticipantAnswer:32850; time taken:60
name 3S31R; Block2; Instance273; Answer:1; ParticipantAnswer:33028; time taken:58
name 2B; Block2; Instance1; Answer:1; ParticipantAnswer:33207; time taken:61
name D20L; Block2; Instance64; Answer:1; ParticipantAnswer:33388; time taken:60
name D3L; Block2; Instance47; Answer:1; ParticipantAnswer:33567; time taken:58
name 3S48R; Block2; Instance290; Answer:1; ParticipantAnswer:33743; time taken:59
name D34L; Block2; Instance78; Answer:1; ParticipantAnswer:33923; time taken:59
name 4S6R; Block2; Instance329; Answer:1; ParticipantAnswer:34100; time taken:62
name D12R; Block2; Instance20; Answer:1; ParticipantAnswer:34277; time taken:59
name 3S67R; Block2; Instance309; Answer:1; ParticipantAnswer:34460; time taken:62
name 4S12R; Block2; Instance335; Answer:1; ParticipantAnswer:34637; time taken:60
name D2R; Block2; Instance10; Answer:1; ParticipantAnswer:34817; time taken:60
name 4S14R; Block2; Instance337; Answer:1; ParticipantAnswer:35000; time taken:58
name D31L; Block2; Instance75; Answer:1; ParticipantAnswer:35178; time taken:60
name 4S54R; Block2; Instance377; Answer:1; ParticipantAnswer:35356; time taken:59
name 4S62R; Block2; Instance385; Answer:1; ParticipantAnswer:35537; time taken:60
name 3S41L; Block3; Instance121; Answer:2; ParticipantAnswer:50945; time taken:270
name 3S2R; Block3; Instance244; Answer:2; ParticipantAnswer:51447; time taken:386
name 7B; Block3; Instance6; Answer:2; ParticipantAnswer:51622; time taken:59
name 3S69L; Block3; Instance149; Answer:2; ParticipantAnswer:51797; time taken:58
name 4S29L; Block3; Instance190; Answer:2; ParticipantAnswer:51977; time taken:60
name 3S33R; Block3; Instance275; Answer:2; ParticipantAnswer:52153; time taken:59
name D7L; Block3; Instance51; Answer:2; ParticipantAnswer:52332; time taken:60
name 4S9R; Block3; Instance332; Answer:2; ParticipantAnswer:52512; time taken:60
name 4S41L; Block3; Instance202; Answer:2; ParticipantAnswer:52689; time taken:58
name D21R; Block3; Instance29; Answer:2; ParticipantAnswer:52864; time taken:58
name 4S18R; Block3; Instance341; Answer:2; ParticipantAnswer:53048; time taken:58
name D28L; Block3; Instance72; Answer:2; ParticipantAnswer:53227; time taken:58
name 4S78R; Block3; Instance401; Answer:2; ParticipantAnswer:53407; time taken:59
name 3S52L; Block3; Instance132; Answer:2; ParticipantAnswer:53591; time taken:59
name 3S65R; Block3; Instance307; Answer:2; ParticipantAnswer:53770; time taken:59
name 3S22L; Block3; Instance102; Answer:2; ParticipantAnswer:53950; time taken:60
name 4S35L; Block3; Instance196; Answer:2; ParticipantAnswer:54140; time taken:57
name D1R; Block3; Instance9; Answer:2; ParticipantAnswer:54315; time taken:58
name 4S51L; Block3; Instance212; Answer:2; ParticipantAnswer:54491; time taken:59
name 4S68R; Block3; Instance391; Answer:2; ParticipantAnswer:54672; time taken:59
name 3S69R; Block3; Instance311; Answer:2; ParticipantAnswer:54847; time taken:59
name 3S45L; Block3; Instance125; Answer:2; ParticipantAnswer:55022; time taken:58
name 5B; Block3; Instance4; Answer:2; ParticipantAnswer:55201; time taken:58
name 3S15L; Block3; Instance95; Answer:2; ParticipantAnswer:55376; time taken:57
name D24L; Block3; Instance68; Answer:2; ParticipantAnswer:55551; time taken:58
name D5R; Block3; Instance13; Answer:2; ParticipantAnswer:55729; time taken:56
name 4S21R; Block3; Instance344; Answer:2; ParticipantAnswer:55904; time taken:58
name 4S62R; Block3; Instance385; Answer:2; ParticipantAnswer:56083; time taken:59
name D32L; Block3; Instance76; Answer:2; ParticipantAnswer:56259; time taken:58
name 3S16R; Block3; Instance258; Answer:2; ParticipantAnswer:56433; time taken:58
name D23L; Block3; Instance67; Answer:2; ParticipantAnswer:56608; time taken:59
name D35R; Block3; Instance43; Answer:2; ParticipantAnswer:56784; time taken:57
name 4S21L; Block3; Instance182; Answer:2; ParticipantAnswer:56970; time taken:69
name D20R; Block3; Instance28; Answer:2; ParticipantAnswer:57144; time taken:57
name 3S62L; Block3; Instance142; Answer:2; ParticipantAnswer:57322; time taken:57
name 4S47L; Block3; Instance208; Answer:2; ParticipantAnswer:57498; time taken:58
name D1L; Block3; Instance45; Answer:2; ParticipantAnswer:57675; time taken:58
name 4S74L; Block3; Instance235; Answer:2; ParticipantAnswer:57853; time taken:59
name 3S31L; Block3; Instance111; Answer:2; ParticipantAnswer:58028; time taken:60
name 3S56L; Block3; Instance136; Answer:2; ParticipantAnswer:58201; time taken:58
name D15L; Block3; Instance59; Answer:2; ParticipantAnswer:58383; time taken:60
name 3S10L; Block3; Instance90; Answer:2; ParticipantAnswer:58571; time taken:68
name 4S64L; Block3; Instance225; Answer:2; ParticipantAnswer:58755; time taken:61
name 3S74L; Block3; Instance154; Answer:2; ParticipantAnswer:58931; time taken:58
name 4S54L; Block3; Instance215; Answer:2; ParticipantAnswer:59110; time taken:61
